columna,encontrado
NoForm,False
Hogar,False
persona,False
A.1,False
A.3,True
A.4,True
A.5,False
A.6,True
A.7,True
A.10,True
A.12,False
A.13,False
A.14,False
B.1,False
B.2,True
B.3,True
B.4,True
B.5,True
B.6,False
B.7,True
B.8,True
C.1,True
C.2,True
C.3,True
C.4,True
C.5,True
C.6,True
C.7,True
C.8,True
C.9,False
C.10,True
C.11,True
D.1,True
D.2,True
D.3,True
E.1,True
E.2,True
E.3,True
E.4,True
E.5,True
E.6,True
E.7,True
E.8,True
E.9,True
F.1,True
F.2,True
F.3,True
F.4,True
F.5,True
F.6,True
F.7,True
F.8,True
F.9,True
F.10,True
F.11,True
G.1,True
G.2,True
G.3,True
G.4,True
G.5,True
G.6,True
G.7,True
G.8,True
G.9,True
G.10,True
G.11,True
H.1,True
H.2A,True
H.2B,True
H.3A,True
H.3B,True
H.4,True
H.5,True
H.6,True
H.7,True
H.8,True
H.9,True
H.10,True
H.11,True
H.12,True
H.13,True
H.14,True
H.15,True
H.16,True
H.17,True
H.18,True
H.19,True
H.20,True
H.21,True
H.22,True
H.23,True
H.24,True
H.25,True
H.26,True
H.27,True
H.28,True
H.29,True
H.30,True
H.31,True
H.32,True
H.33,True
H.34,True
H.35,True
H.36,True
H.37,True
H.38,True
H.39,True
H.40,True
H.41,True
H.42,True
H.43,True
H.44,True
I.1,True
I.2,True
I.3,True
I.4,True
I.5,True
I.6,False
I.7,False
I.8,False
I.9,False
I.10,True
I.11,True
I.12,True
I.13,True
I.14,True
I.15,True
I.16,True
I.17,True
I.18,True
I.19,True
I.20,True
I.21,True
I.22,True
I.23,True
I.24,True
I.25,True
I.26,True
I.27,True
I.28,True
I.29,True
I.30,True
I.31,True
I.32,True
I.33,True
I.34,True
I.35,True
J.1,True
J.2,False
J.3,False
J.4,False
J.5,False
J.6,False
J.7,False
J.8,False
J.9,False
J.10,False
J.11,False
J.12,False
J.13,False
J.14,False
J.15,False
J.16,False
J.17,False
J.18,False
J.19,False
J.20,False
J.21,False
J.22,False
J.23,False
J.24,False
J.25,False
J.26,False
J.27,False
J.28,False
J.29,False
J.30,False
J.31,True
J.32,True
J.33,True
J.34,True
J.35,True
J.36,True
J.37,True
J.38,True
J.39,True
J.40,True
J.41,True
J.42,True
J.43,True
J.44,True
J.45,True
J.46,True
J.47,True
J.48,True
J.49,True
J.50,True
J.51,True
J.52,True
K.1,True
K.2,True
K.3,True
K.4,True
K.5,True
K.6,True
K.7,True
K.8,True
K.9,True
K.10,True
K.11,True
K.12,True
K.13,True
K.14,True
K.15,True
K.16,True
K.17,True
K.18,True
K.19,True
L.1,True
L.2,True
L.3,True
L.4,True
L.5,True
L.6,True
L.7,True
L.8,True
L.9,True
L.10,True
L.11,True
L.12,True
L.13,True
L.14,True
L.15,True
L.16,True
L.17,True
L.18,True
L.19,True
L.20,True
M.1,True
M.2,True
M.3,True
M.4,True
M.5,True
N.1,True
N.2,True
N.3,True
N.4,True
N.5,True
N.6,True
N.7,True
N.8,True
N.9,True
N.10,True
N.11,True
O.1,True
O.2,True
O.3,True
O.4,True
O.5,True
O.6,True
O.7,True
O.8,True
O.9,True
O.10,True
O.11,True
O.12,True
O.13,True
O.14,True
O.15,True
O.16,True
P.1,True
P.2,True
P.3,True
P.4,True
P.5,True
P.6,True
P.7,True
P.8,True
P.9,True
P.10,True
P.11,True
P.12,True
P.13,True
Q.1,True
Q.2,True
Q.3,True
R.1,True
R.2,True
R.3,True
R.4,True
S.1,True
S.2,True
S.3,True
S.4,True
S.5,True
T.1,True
T.2,True
T.3,True
T.4,True
T.5,True
T.6,True
T.7,True
U.1,True
U.2,True
U.3,True
U.4,True
U.5,True
U.6,True
U.7,True
V.1,True
V.2,True
V.3,True
V.4,True
V.5,True
W.1,True
W.2,True
W.3,True
W.4,True
W.5,True
W.6,True
W.7,True
W.8,True
W.9,True
W.10,True
W.11,True
W.12,True
FEV,False
FEH,False
FEP,False
